Symbol,Description,"Dividend yield %, Trailing 12 months",Market capitalization,Beta 5 years,Industry,Sector,Exchange
VLW,VINH LONG WATER SUPPLY CO LT,,,,,,UPCOM
CMV,CAMAU TRADING JOINT STOCK COMPANY.,4.175365344,1.73933E+11,0.30626887,Department stores,Retail trade,HOSE
V12,VIETNAM CONSTRUCTION JSC NO.12,4.838709677,1.44286E+11,0.475724,Engineering & construction,Industrial services,HNX
HAF,HANOI FOODSTUFF JSC,0,2.03E+11,,Food retail,Retail trade,UPCOM
THW,TAN HOA WATER SUPPLY JSC,,,,,,UPCOM
TVG,TRANSP INV & CON (VIETNAM),0,23137314600,,Miscellaneous commercial services,Commercial services,UPCOM
VCX,YEN BINH CEMENT JSC,,,,,,UPCOM
MNB,NHA BE GARMENT CORP,7.722007722,4.7138E+11,,Apparel/Footwear,Consumer non-durables,UPCOM
GLT,GLOBAL ELECTRICAL TECHNOLOGY CORP,3.003003003,3.11386E+11,0.30267593,Electric utilities,Utilities,HNX
DAD,DANANG EDUCATION INVESTMENT AND DEV,10.92896175,79026718283,0.42846367,Publishing: books/magazines,Consumer services,HNX
V21,VINACONEX 21 JSC,0,75598672199,0.5087185,Real estate development,Finance,HNX
SHG,SONGHONG JSC,,,,,,UPCOM
DC1,DEVELOPMENT INV CON HOI AN JSC,,,,Homebuilding,Consumer durables,UPCOM
VGR,VIP GREENPORT JSC,6.557377049,3.85825E+12,,Other transportation,Transportation,UPCOM
PVH,THANH HOA PETROLEUM CONSTRUCTION,,,,,,UPCOM
QNU,QUANG NAM URBAN ENVIRONMENT,,,,,,UPCOM
FDC,FOREIGN TRADE DEVELOPMENT AND INVESTMENT,0,6.56599E+11,0.87200236,Real estate development,Finance,HOSE
USC,UNION OF SURVEY AND CONSTRUC,,,,,,UPCOM
SDU,SONG DA URBAN INV CONST & DEV JSC,0,3.52E+11,-0.30054647,Real estate development,Finance,HNX
QNT,DIEN BAN TOWN CONST CONSULTANCY CTR,,,,,,UPCOM
DWS,DONG THAP WATER SUPPLY & URB,4.109589041,3.78404E+11,,Water utilities,Utilities,UPCOM
TMC,THU DUC TRADING AND IMPORT - EXPORT,8.219178082,90519997215,-0.16286716,Wholesale distributors,Distribution services,HNX
