Ticker,recorded_at,Price,Percent_Change,matching_volume_self,matching_volume_foreign,volume,,
TVS,2/11/2022,,,"1,100.00",,,,
SCR,2/11/2022,,,"-1,200.00",,,,
HPX,2/11/2022,,,-800,,,,
SAM,2/11/2022,,,"-1,600.00",,,,
SGT,2/11/2022,,,-100,,,,
NHH,2/11/2022,,,"-56,800.00",,,,
TCM,2/11/2022,,,100,,,,
GEG,3/11/2022,,,-400,,,,
VSH,3/11/2022,,,-200,,,,
SHI,3/11/2022,,,-300,,,,
CCL,3/11/2022,,,-100,,,,
SAM,3/11/2022,,,-100,,,,
LCG,3/11/2022,,,-100,,,,
VPG,3/11/2022,,,-100,,,,
DPR,4/11/2022,,,"5,000.00",,,,
NHH,4/11/2022,,,"-44,100.00",,,,
VRC,4/11/2022,,,"1,000,000.00",,,,
DPR,4/11/2022,,,"5,000.00",,,,
NHH,7/11/2022,,,"-49,200.00",,,,
TCM,7/11/2022,,,700,,,,
VNE,7/11/2022,,,"1,400,000.00",,,,
NHH,8/11/2022,,,"-48,500.00",,,,
TCM,8/11/2022,,,"1,400.00",,,,
PET,9/11/2022,,,"-248,100.00",,,,
TCM,9/11/2022,,,"-2,500.00",,,,
TDP,9/11/2022,,,"-2,000,000.00",,,,
TSC,9/11/2022,,,-100,,,,
BAF,9/11/2022,,,-100,,,,
GEG,10/11/2022,,,-200,,,,
TDM,10/11/2022,,,"-13,000.00",,,,
VSC,11/11/2022,,,-100,,,,
TDM,11/11/2022,,,"-10,000.00",,,,
VRC,11/11/2022,,,"18,500.00",,,,
KSB,11/11/2022,,,"-10,000.00",,,,
HII,14/11/2022,,,"37,800.00",,,,
NHH,14/11/2022,,,"36,700.00",,,,
VRC,14/11/2022,,,"10,800.00",,,,
HII,14/11/2022,,,"290,200.00",,,,
TSC,14/11/2022,,,-100,,,,
NHH,15/11/2022,,,"30,000.00",,,,
DRC,15/11/2022,,,"40,000.00",,,,
CRE,15/11/2022,,,600,,,,
SCR,15/11/2022,,,"1,400.00",,,,
VRC,15/11/2022,,,"1,300.00",,,,
HPX,15/11/2022,,,800,,,,
SAM,15/11/2022,,,"1,600.00",,,,
APH,15/11/2022,,,600,,,,
HII,15/11/2022,,,"6,200.00",,,,
TCM,15/11/2022,,,-100,,,,
DRC,15/11/2022,,,"60,000.00",,,,
GEG,15/11/2022,,,400,,,,
TLG,16/11/2022,,,"15,000.00",,,,
VSH,16/11/2022,,,200,,,,
AGR,16/11/2022,,,"1,100.00",,,,
ORS,16/11/2022,,,"2,200.00",,,,
CTS,16/11/2022,,,700,,,,
VDS,16/11/2022,,,"-7,404.00",,,,
BSI,16/11/2022,,,"1,100.00",,,,
FIT,16/11/2022,,,-100,,,,
CRE,16/11/2022,,,"4,500.00",,,,
LDG,16/11/2022,,,-100,,,,
SCR,16/11/2022,,,"-39,966.00",,,,
VRC,16/11/2022,,,"-46,624.00",,,,
HPX,16/11/2022,,,"6,000.00",,,,
SAM,16/11/2022,,,"-67,680.00",,,,
LCG,16/11/2022,,,-100,,,,
BMI,16/11/2022,,,"63,100.00",,,,
APH,16/11/2022,,,"4,400.00",,,,
HII,16/11/2022,,,"98,700.00",,,,
NHH,16/11/2022,,,"130,700.00",,,,
GEG,17/11/2022,,,"3,000.00",,,,
TLG,17/11/2022,,,100,,,,
AGR,17/11/2022,,,"6,500.00",,,,
ORS,17/11/2022,,,"13,000.00",,,,
CTS,17/11/2022,,,"6,500.00",,,,
VDS,17/11/2022,,,"6,500.00",,,,
BSI,17/11/2022,,,"6,500.00",,,,
HTN,17/11/2022,,,"-6,100.00",,,,
BMI,18/11/2022,,,"56,500.00",,,,
NHH,18/11/2022,,,"389,600.00",,,,
SHI,18/11/2022,,,-100,,,,
VDS,21/11/2022,,,-100,,,,
NHH,21/11/2022,,,"204,600.00",,,,
CTS,21/11/2022,,,-100,,,,
LCG,21/11/2022,,,-200,,,,
KSB,21/11/2022,,,"-15,100.00",,,,
TNH,21/11/2022,,,-100,,,,
NHH,21/11/2022,,,"190,700.00",,,,
ADS,22/11/2022,,,-100,,,,
HHS,22/11/2022,,,-200,,,,
AGR,22/11/2022,,,"-6,000.00",,,,
ORS,22/11/2022,,,"-12,000.00",,,,
CTS,22/11/2022,,,"-6,000.00",,,,
VDS,22/11/2022,,,"-6,000.00",,,,
BSI,22/11/2022,,,"-6,000.00",,,,
KSB,22/11/2022,,,"-30,000.00",,,,
BMI,23/11/2022,,,"-6,000.00",,,,
NHH,23/11/2022,,,"9,600.00",,,,
AGR,23/11/2022,,,200,,,,
ORS,23/11/2022,,,600,,,,
TDH,23/11/2022,,,"30,600.00",,,,
LCG,23/11/2022,,,-100,,,,
BMI,23/11/2022,,,200,,,,
TSC,24/11/2022,,,-100,,,,
BAF,24/11/2022,,,-100,,,,
AGR,24/11/2022,,,"1,000.00",,,,
ORS,24/11/2022,,,"2,000.00",,,,
VDS,24/11/2022,,,"1,000.00",,,,
BSI,24/11/2022,,,"1,000.00",,,,
TDH,24/11/2022,,,"76,900.00",,,,
CTI,24/11/2022,,,-100,,,,
CMX,24/11/2022,,,-100,,,,
BMI,25/11/2022,,,"1,000.00",,,,
HHS,28/11/2022,,,-100,,,,
TDH,28/11/2022,,,"118,800.00",,,,
TDH,28/11/2022,,,"20,000.00",,,,
KSB,28/11/2022,,,"-5,000.00",,,,
BMI,29/11/2022,,,"50,000.00",,,,
ADS,29/11/2022,,,-100,,,,
TVS,30/11/2022,,,"15,000.00",,,,
TDH,30/11/2022,,,"75,700.00",,,,
CTS,30/11/2022,,,-300,,,,
FIT,30/11/2022,,,-100,,,,
TDH,30/11/2022,,,"124,300.00",,,,
HVN,30/11/2022,,,-100,,,,
PET,30/11/2022,,,"158,300.00",,,,
NHH,30/11/2022,,,"-269,900.00",,,,
HNG,1/12/2022,,,"8,800.00",,,,
PPC,1/12/2022,,,-100,,,,
TDH,1/12/2022,,,"168,100.00",,,,
BMI,2/12/2022,,,"50,000.00",,,,
NHH,2/12/2022,,,"-187,700.00",,,,
CTS,2/12/2022,,,-300,,,,
VDS,2/12/2022,,,-400,,,,
CKG,2/12/2022,,,-100,,,,
TDH,2/12/2022,,,"51,000.00",,,,
PET,2/12/2022,,,"59,600.00",,,,
LCG,2/12/2022,,,"-1,300.00",,,,
KSB,2/12/2022,,,-300,,,,
DPR,2/12/2022,,,"-4,200.00",,,,
BFC,2/12/2022,,,-100,,,,
DRC,2/12/2022,,,-200,,,,
CEO,2/12/2022,,,"-20,017,950,000.00",,,,
DVM,5/12/2022,,,,,,,
HAX,5/12/2022,,,-100,,,,
CTS,5/12/2022,,,-400,,,,
TDH,5/12/2022,,,"73,400.00",,,,
HPX,5/12/2022,,,"-7,700.00",,,,
LCG,5/12/2022,,,-100,,,,
PHC,5/12/2022,,,"-7,000.00",,,,
CMX,5/12/2022,,,-100,,,,
APH,5/12/2022,,,-100,,,,
ADS,5/12/2022,,,-100,,,,
TNG,6/12/2022,,,,,,,
DVM,6/12/2022,,,,,,,
TDH,7/12/2022,,,"34,300.00",,,,
PET,7/12/2022,,,"100,000.00",,,,
FIT,7/12/2022,,,-100,,,,
TDH,7/12/2022,,,"39,400.00",,,,
SCR,7/12/2022,,,-200,,,,
VRC,7/12/2022,,,"3,200.00",,,,
HVN,7/12/2022,,,-100,,,,
PET,7/12/2022,,,"-12,800.00",,,,
CMX,8/12/2022,,,-100,,,,
TDM,8/12/2022,,,-600,,,,
TVS,8/12/2022,,,"20,000.00",,,,
APG,8/12/2022,,,"271,500.00",,,,
CTS,8/12/2022,,,-100,,,,
VDS,8/12/2022,,,-100,,,,
FIT,8/12/2022,,,-100,,,,
TDH,8/12/2022,,,"60,100.00",,,,
PET,9/12/2022,,,"-10,000.00",,,,
TDM,12/12/2022,,,"-1,500.00",,,,
PET,13/12/2022,,,"4,726,900.00",,,,
PET,13/12/2022,,,"100,000.00",,,,
VRC,13/12/2022,,,"2,200.00",,,,
PET,14/12/2022,,,"-18,000.00",,,,
DRC,14/12/2022,,,"-20,000.00",,,,
SHI,14/12/2022,,,-100,,,,
SCR,14/12/2022,,,-100,,,,
VRC,14/12/2022,,,"1,900.00",,,,
HVN,14/12/2022,,,-200,,,,
BFC,14/12/2022,,,-100,,,,
BAF,14/12/2022,,,"19,000.00",,,,
GEG,15/12/2022,,,-100,,,,
KHG,15/12/2022,,,-100,,,,
SCR,15/12/2022,,,-100,,,,
VRC,15/12/2022,,,"23,700.00",,,,
ITA,15/12/2022,,,-100,,,,
LCG,15/12/2022,,,-100,,,,
BAF,16/12/2022,,,"19,000.00",,,,
GEG,16/12/2022,,,-100,,,,
SHI,16/12/2022,,,-100,,,,
CTS,16/12/2022,,,-100,,,,
CKG,16/12/2022,,,-100,,,,
SCR,16/12/2022,,,-300,,,,
VRC,16/12/2022,,,"1,100.00",,,,
PET,16/12/2022,,,"-2,100.00",,,,
ADS,19/12/2022,,,-100,,,,
VSH,19/12/2022,,,-100,,,,
VRC,20/12/2022,,,"16,900.00",,,,
PET,20/12/2022,,,"-12,900.00",,,,
CRE,20/12/2022,,,"-1,200.00",,,,
SCR,20/12/2022,,,"-2,800.00",,,,
VRC,20/12/2022,,,"15,300.00",,,,
HPX,20/12/2022,,,"-1,600.00",,,,
SAM,20/12/2022,,,"-3,200.00",,,,
PET,20/12/2022,,,"7,500.00",,,,
KSB,20/12/2022,,,"320,000.00",,,,
ANV,20/12/2022,,,"-5,000.00",,,,
APH,20/12/2022,,,"-1,200.00",,,,
GEG,21/12/2022,,,-800,,,,
VSH,21/12/2022,,,-400,,,,
CKG,21/12/2022,,,-100,,,,
VRC,21/12/2022,,,"11,800.00",,,,
PET,21/12/2022,,,"220,000.00",,,,
LCG,21/12/2022,,,-200,,,,
KSB,21/12/2022,,,-100,,,,
DCL,21/12/2022,,,-200,,,,
QBS,21/12/2022,,,"20,000.00",,,,
BAF,22/12/2022,,,"-38,000.00",,,,
TTA,22/12/2022,,,-100,,,,
SCR,22/12/2022,,,-100,,,,
VRC,22/12/2022,,,"3,000.00",,,,
PET,22/12/2022,,,"23,000.00",,,,
LCG,22/12/2022,,,-100,,,,
QBS,22/12/2022,,,"29,400.00",,,,
CSV,23/12/2022,,,"20,000.00",,,,
GEG,23/12/2022,,,-100,,,,
VRC,23/12/2022,,,"6,300.00",,,,
PET,26/12/2022,,,"27,500.00",,,,
DRC,26/12/2022,,,"5,900.00",,,,
PET,26/12/2022,,,"100,000.00",,,,
CSV,26/12/2022,,,"10,000.00",,,,
DRC,27/12/2022,,,"9,000.00",,,,
BAF,27/12/2022,,,"19,000.00",,,,
CTS,27/12/2022,,,-100,,,,
VRC,27/12/2022,,,"38,000.00",,,,
PET,28/12/2022,,,"36,000.00",,,,
QBS,28/12/2022,,,"54,000.00",,,,
VDS,28/12/2022,,,-100,,,,
CKG,28/12/2022,,,"-80,400.00",,,,
SCR,28/12/2022,,,-100,,,,
VPG,29/12/2022,,,-200,,,,
ADS,29/12/2022,,,-100,,,,
SCR,29/12/2022,,,-200,,,,
VRC,29/12/2022,,,"20,000.00",,,,
ELC,29/12/2022,,,-200,,,,
SAM,29/12/2022,,,-100,,,,
PET,30/12/2022,,,"5,000.00",,,,
TDM,30/12/2022,,,-300,,,,
TVS,3/1/2023,,,"-11,000,000.00",,,,
VRC,4/1/2023,,,"17,600.00",,,,
VRC,4/1/2023,,,"7,700.00",,,,
VRC,5/1/2023,,,"1,100.00",,,,
DRC,5/1/2023,,,"-12,500.00",,,,
VRC,5/1/2023,,,"12,000.00",,,,
NHH,6/1/2023,,,"-62,500.00",,,,
GEG,6/1/2023,,,-100,,,,
DRC,6/1/2023,,,"-37,600.00",,,,
BAF,9/1/2023,,,"-151,200.00",,,,
TDM,9/1/2023,,,"-20,000.00",,,,
DRC,10/1/2023,,,"-7,900.00",,,,
TDM,10/1/2023,,,"-4,700.00",,,,
HVN,11/1/2023,,,"-436,500.00",,,,
DRC,11/1/2023,,,"15,000.00",,,,
LCG,11/1/2023,,,-200,,,,
TCM,12/1/2023,,,"-1,100.00",,,,
DRC,12/1/2023,,,"-18,600.00",,,,
VRC,12/1/2023,,,"18,500.00",,,,
HVN,13/01/2023,,,"-30,000.00",,,,
TSC,13/01/2023,,,"-25,100.00",,,,
VDS,13/01/2023,,,-100,,,,
CKG,13/01/2023,,,-100,,,,
SAM,13/01/2023,,,-100,,,,
PET,16/01/2023,,,"60,000.00",,,,
TDM,16/01/2023,,,"-15,000.00",,,,
SMC,16/01/2023,,,-700,,,,
SHA,16/01/2023,,,-400,,,,
HMC,16/01/2023,,,-700,,,,
TVS,16/01/2023,,,-200,,,,
TVB,16/01/2023,,,-200,,,,
CTS,16/01/2023,,,"-1,400.00",,,,
BSI,16/01/2023,,,-200,,,,
FIR,16/01/2023,,,-500,,,,
CRE,16/01/2023,,,-500,,,,
HAG,16/01/2023,,,-300,,,,
CKG,16/01/2023,,,-200,,,,
TEG,16/01/2023,,,-400,,,,
SCR,16/01/2023,,,-300,,,,
VRC,16/01/2023,,,"3,500.00",,,,
CCL,16/01/2023,,,-300,,,,
HPX,16/01/2023,,,-100,,,,
D2D,16/01/2023,,,-100,,,,
TIP,16/01/2023,,,-100,,,,
ELC,16/01/2023,,,-100,,,,
ICT,16/01/2023,,,-100,,,,
SAM,16/01/2023,,,-100,,,,
AST,16/01/2023,,,-100,,,,
HVN,16/01/2023,,,-400,,,,
DAH,16/01/2023,,,-100,,,,
PET,16/01/2023,,,"15,300.00",,,,
TTB,16/01/2023,,,-200,,,,
VNE,16/01/2023,,,-100,,,,
HID,16/01/2023,,,-100,,,,
CRC,16/01/2023,,,-100,,,,
HTN,16/01/2023,,,-600,,,,
HVH,16/01/2023,,,-100,,,,
VSC,16/01/2023,,,"8,500.00",,,,
TCD,16/01/2023,,,-100,,,,
VIP,16/01/2023,,,-100,,,,
TNI,16/01/2023,,,-100,,,,
ILB,16/01/2023,,,-100,,,,
TCL,16/01/2023,,,-100,,,,
TV2,16/01/2023,,,-400,,,,
VTO,16/01/2023,,,-100,,,,
VOS,16/01/2023,,,-100,,,,
KSB,16/01/2023,,,-300,,,,
VPG,16/01/2023,,,-700,,,,
ACL,16/01/2023,,,-200,,,,
DMC,16/01/2023,,,-100,,,,
TNH,16/01/2023,,,-600,,,,
HHP,16/01/2023,,,-100,,,,
BMI,16/01/2023,,,-500,,,,
APH,16/01/2023,,,-600,,,,
HII,16/01/2023,,,-100,,,,
TDP,16/01/2023,,,-100,,,,
